"Mean_Protein_molecules","Uncorrected_Fano_factor","genotype"
133.91,39.1,"Allelic tag 22A3 wildtype"
135.06,44.93,"Allelic tag 22A3 wildtype"
136.16,38.74,"Allelic tag 22A3 wildtype"
137.38,49.06,"Allelic tag 22A3 wildtype"
138.58,51.87,"Allelic tag 22A3 wildtype"
139.79,43.97,"Allelic tag 22A3 wildtype"
141.09,40.75,"Allelic tag 22A3 wildtype"
142.29,50.36,"Allelic tag 22A3 wildtype"
143.44,38.45,"Allelic tag 22A3 wildtype"
144.69,53.81,"Allelic tag 22A3 wildtype"
145.86,46.26,"Allelic tag 22A3 wildtype"
147.2,43.53,"Allelic tag 22A3 wildtype"
148.4,36.66,"Allelic tag 22A3 wildtype"
149.72,49.35,"Allelic tag 22A3 wildtype"
151.11,42.74,"Allelic tag 22A3 wildtype"
152.34,47.54,"Allelic tag 22A3 wildtype"
153.63,49.53,"Allelic tag 22A3 wildtype"
154.95,48.82,"Allelic tag 22A3 wildtype"
156.31,44.85,"Allelic tag 22A3 wildtype"
157.67,39.08,"Allelic tag 22A3 wildtype"
159.03,37.41,"Allelic tag 22A3 wildtype"
160.41,37.79,"Allelic tag 22A3 wildtype"
161.76,48.44,"Allelic tag 22A3 wildtype"
163.14,38.6,"Allelic tag 22A3 wildtype"
164.51,37.42,"Allelic tag 22A3 wildtype"
165.99,34.24,"Allelic tag 22A3 wildtype"
167.41,58.81,"Allelic tag 22A3 wildtype"
168.84,37.47,"Allelic tag 22A3 wildtype"
170.3,46.34,"Allelic tag 22A3 wildtype"
171.85,41.99,"Allelic tag 22A3 wildtype"
173.21,33.11,"Allelic tag 22A3 wildtype"
174.74,39.08,"Allelic tag 22A3 wildtype"
176.26,47.52,"Allelic tag 22A3 wildtype"
177.77,47.2,"Allelic tag 22A3 wildtype"
179.29,39.92,"Allelic tag 22A3 wildtype"
180.87,45.35,"Allelic tag 22A3 wildtype"
182.43,35.1,"Allelic tag 22A3 wildtype"
183.91,34.95,"Allelic tag 22A3 wildtype"
185.65,41.61,"Allelic tag 22A3 wildtype"
187.13,39.97,"Allelic tag 22A3 wildtype"
188.76,42.07,"Allelic tag 22A3 wildtype"
190.38,33.16,"Allelic tag 22A3 wildtype"
192.08,51.96,"Allelic tag 22A3 wildtype"
193.74,39.26,"Allelic tag 22A3 wildtype"
195.31,42.65,"Allelic tag 22A3 wildtype"
197.04,38.6,"Allelic tag 22A3 wildtype"
198.78,35.85,"Allelic tag 22A3 wildtype"
200.55,36.33,"Allelic tag 22A3 wildtype"
202.19,43.79,"Allelic tag 22A3 wildtype"
203.95,42.98,"Allelic tag 22A3 wildtype"
205.67,37.23,"Allelic tag 22A3 wildtype"
207.47,33.94,"Allelic tag 22A3 wildtype"
209.19,44,"Allelic tag 22A3 wildtype"
211.1,41.89,"Allelic tag 22A3 wildtype"
212.85,49.15,"Allelic tag 22A3 wildtype"
214.66,39.29,"Allelic tag 22A3 wildtype"
216.58,37.17,"Allelic tag 22A3 wildtype"
218.39,37.01,"Allelic tag 22A3 wildtype"
220.36,33.45,"Allelic tag 22A3 wildtype"
222.24,38.4,"Allelic tag 22A3 wildtype"
224.24,51.11,"Allelic tag 22A3 wildtype"
226.02,39.79,"Allelic tag 22A3 wildtype"
227.97,59.67,"Allelic tag 22A3 wildtype"
229.93,46.96,"Allelic tag 22A3 wildtype"
231.96,43.81,"Allelic tag 22A3 wildtype"
233.96,36.19,"Allelic tag 22A3 wildtype"
235.96,49.91,"Allelic tag 22A3 wildtype"
238.01,50.41,"Allelic tag 22A3 wildtype"
240.04,42.4,"Allelic tag 22A3 wildtype"
242.09,37.58,"Allelic tag 22A3 wildtype"
244.28,38.61,"Allelic tag 22A3 wildtype"
246.29,60.45,"Allelic tag 22A3 wildtype"
248.43,40.29,"Allelic tag 22A3 wildtype"
250.58,38.24,"Allelic tag 22A3 wildtype"
252.78,38.92,"Allelic tag 22A3 wildtype"
254.96,47.04,"Allelic tag 22A3 wildtype"
257.04,33.89,"Allelic tag 22A3 wildtype"
259.42,44.55,"Allelic tag 22A3 wildtype"
261.53,40.84,"Allelic tag 22A3 wildtype"
263.78,43.8,"Allelic tag 22A3 wildtype"
266.02,47.14,"Allelic tag 22A3 wildtype"
268.42,49.04,"Allelic tag 22A3 wildtype"
270.69,46.21,"Allelic tag 22A3 wildtype"
272.97,44.43,"Allelic tag 22A3 wildtype"
275.32,47.3,"Allelic tag 22A3 wildtype"
277.81,40.17,"Allelic tag 22A3 wildtype"
280.15,55.48,"Allelic tag 22A3 wildtype"
282.61,45.96,"Allelic tag 22A3 wildtype"
285.04,44.76,"Allelic tag 22A3 wildtype"
287.42,37.56,"Allelic tag 22A3 wildtype"
289.97,39.68,"Allelic tag 22A3 wildtype"
292.52,45.61,"Allelic tag 22A3 wildtype"
294.99,39.94,"Allelic tag 22A3 wildtype"
297.58,41.6,"Allelic tag 22A3 wildtype"
300.14,42.31,"Allelic tag 22A3 wildtype"
302.68,50.17,"Allelic tag 22A3 wildtype"
305.17,39.57,"Allelic tag 22A3 wildtype"
307.99,46.69,"Allelic tag 22A3 wildtype"
310.57,40.83,"Allelic tag 22A3 wildtype"
313.24,38.24,"Allelic tag 22A3 wildtype"
315.86,41.16,"Allelic tag 22A3 wildtype"
318.71,41.02,"Allelic tag 22A3 wildtype"
321.53,41.25,"Allelic tag 22A3 wildtype"
324.28,48.94,"Allelic tag 22A3 wildtype"
326.94,38.01,"Allelic tag 22A3 wildtype"
329.81,48.77,"Allelic tag 22A3 wildtype"
332.67,42.76,"Allelic tag 22A3 wildtype"
335.64,52.33,"Allelic tag 22A3 wildtype"
338.44,44.15,"Allelic tag 22A3 wildtype"
341.31,42.95,"Allelic tag 22A3 wildtype"
344.31,36.74,"Allelic tag 22A3 wildtype"
347.27,40.48,"Allelic tag 22A3 wildtype"
350.24,41.12,"Allelic tag 22A3 wildtype"
353.36,40.2,"Allelic tag 22A3 wildtype"
356.29,46.48,"Allelic tag 22A3 wildtype"
359.42,46.23,"Allelic tag 22A3 wildtype"
362.39,53.77,"Allelic tag 22A3 wildtype"
365.64,41.44,"Allelic tag 22A3 wildtype"
368.74,40.85,"Allelic tag 22A3 wildtype"
371.99,45.28,"Allelic tag 22A3 wildtype"
376.37,38.21,"Allelic tag 22A3 wildtype"
383.64,36.78,"Allelic tag 22A3 wildtype"
392.34,49.37,"Allelic tag 22A3 wildtype"
401.13,43.43,"Allelic tag 22A3 wildtype"
409.94,43.03,"Allelic tag 22A3 wildtype"
419.18,42.04,"Allelic tag 22A3 wildtype"
428.6,51.04,"Allelic tag 22A3 wildtype"
438.48,46.96,"Allelic tag 22A3 wildtype"
448.42,47.71,"Allelic tag 22A3 wildtype"
458.48,48.24,"Allelic tag 22A3 wildtype"
468.92,43.78,"Allelic tag 22A3 wildtype"
479.59,41.99,"Allelic tag 22A3 wildtype"
490.03,42.73,"Allelic tag 22A3 wildtype"
501.37,45.2,"Allelic tag 22A3 wildtype"
512.38,43.7,"Allelic tag 22A3 wildtype"
524.14,45.44,"Allelic tag 22A3 wildtype"
536.25,42.89,"Allelic tag 22A3 wildtype"
548.24,55.59,"Allelic tag 22A3 wildtype"
560.74,53.77,"Allelic tag 22A3 wildtype"
573,42.58,"Allelic tag 22A3 wildtype"
586.03,44.16,"Allelic tag 22A3 wildtype"
599.41,49.86,"Allelic tag 22A3 wildtype"
612.75,51.42,"Allelic tag 22A3 wildtype"
626.77,46.07,"Allelic tag 22A3 wildtype"
640.42,47.8,"Allelic tag 22A3 wildtype"
655.02,60.87,"Allelic tag 22A3 wildtype"
669.55,51.72,"Allelic tag 22A3 wildtype"
685,49.09,"Allelic tag 22A3 wildtype"
700.52,48.45,"Allelic tag 22A3 wildtype"
716.86,55.36,"Allelic tag 22A3 wildtype"
732.7,51.53,"Allelic tag 22A3 wildtype"
748.52,60.96,"Allelic tag 22A3 wildtype"
765.68,53.26,"Allelic tag 22A3 wildtype"
783.62,57.79,"Allelic tag 22A3 wildtype"
800.84,61.12,"Allelic tag 22A3 wildtype"
818.45,59.48,"Allelic tag 22A3 wildtype"
837.14,57.67,"Allelic tag 22A3 wildtype"
856.18,53.95,"Allelic tag 22A3 wildtype"
875.3,69.33,"Allelic tag 22A3 wildtype"
895.06,61.06,"Allelic tag 22A3 wildtype"
915.63,53.86,"Allelic tag 22A3 wildtype"
936.63,70.69,"Allelic tag 22A3 wildtype"
957.05,56.1,"Allelic tag 22A3 wildtype"
979.02,59.75,"Allelic tag 22A3 wildtype"
